name_en	name_zh	address_en	address_zh	sub_district_en	sub_district_zh	district_en	district_zh	area_en	area_zh	x	y	lat	long
Chung Sum Tsuen (Shek Tau Wai) Public Toilet	八鄉中心村（石頭圍）公廁	Pat Heung Chung Sum Tsuen (Shek Tau Wai) Public Toilet, Pat Heung, Yuen Long, NT	新界元朗八鄉八鄉中心村（石頭圍）公廁	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	827949	832407	22.431024373	114.096066042
Chung Uk Tsuen Public Toilet	鍾屋村公廁	Chung Uk Tsuen Public Toilet, Lam Tsuen Valley, Tai Po, NT	新界大埔林村谷鍾屋村公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	832657	835004	22.454492862	114.141792285
Chung Uk Tsuen Public Toilet	鍾屋村公廁	Chung Uk Tsuen, Hung Shui Kiu, Tuen Mun, NT	新界屯門洪水橋鍾屋村	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	817233	832179	22.428879836	113.991976959
Chung Wong Toi Public Toilet	頌皇台公廁	Chung Wong Toi Public Toilet, Tuen Mun, NT	新界屯門頌皇台公廁	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	816537	829685	22.406350055	113.985247251
Clear Water Bay Second Beach Carpark Public Toilet	清水灣二灘停車場公廁	Clear Water Bay Second Beach Carpark Public Toilet, Clear Water Bay, Sai Kung, NT	新界西貢清水灣清水灣二灘停車場公廁	Clear Water Bay	清水灣	Sai Kung	西貢	New Territories	新界	847559	816515	22.287494059	114.286439512
Cross Lane Public Toilet	交加里公廁	Cross Lane Refuse Collection Point, Wan Chai, HK	香港灣仔交加里垃圾收集站	Wan Chai	灣仔	Wan Chai	灣仔	Hong Kong	港島	836184	815275	22.276333077	114.176059295
Deep Water Bay Beach Changing Rooms & PublicToilet	深水灣泳灘更衣室及公廁	Deep Water Bay Beach  Changing Rooms & PublicToilet, Deep Water Bay, HK	香港深水灣深水灣泳灘更衣室及公廁	Shouson Hill	壽臣山	Southern	南區	Hong Kong	港島	837438	811684	22.243903578	114.188224224
Departure Goods Vehicle Clearance Plaza Public Toilet	出境貨車通關廣場公廁	Chek Lap Kok, NT	新界赤鱲角	Lantau Island	大嶼山	Islands	離島	New Territories	新界	813565.111	819510.309	22.314430916	113.956529023
Departure Private Car Clearance Plaza Public Toilet	出境私家車通關廣場公廁	Chek Lap Kok, NT	新界赤鱲角	Lantau Island	大嶼山	Islands	離島	New Territories	新界	813692.534	819430.087	22.313708144	113.957766864
Duckling Hill Public Toilet	鴨仔山公廁	Hang Hau, Tseung Kwan O, NT	新界將軍澳坑口	Hang Hau	坑口	Sai Kung	西貢	New Territories	新界	845273	820113	22.319999627	114.264276961
Dyer Avenue Public Toilet	戴亞街公廁	Dyer Avenue Public Toilet, Hung Hom, KLN	九龍紅磡戴亞街公廁	Hung Hom	紅磡	Kowloon City	九龍城	Kowloon	九龍	837406	818698	22.307244529	114.187918793
Exchange Square Public Toilet	交易廣場公廁	G/F of Exchange Square near Bus Terminus, Central	中環交易廣場地下近巴士總站	Central	中環	Central & Western	中西區	Hong Kong	港島	834315	816118	22.283944806	114.157923375
Exhibition Centre Station Public Transport Interchange Public Toilet	會展站公共運輸交匯處公廁	Wan Chai, HK	香港灣仔	Wan Chai	灣仔	Wan Chai	灣仔	Hong Kong	港島	836197	815874	22.28174243	114.176185409
Expo Drive East Public Toilet	博覽道東公廁	Expo Drive East Public Toilet, Wan Chai, HK	香港灣仔博覽道東公廁	Wan Chai	灣仔	Wan Chai	灣仔	Hong Kong	港島	836007	816157	22.284298082	114.174341724
Fan Lau Aqua Privy	分流旱廁	Fan Lau Aqua Privy, Lantau Island, NT	新界大嶼山分流旱廁	Lantau Island	大嶼山	Islands	離島	New Territories	新界	802531	807189	22.202982344	113.849696038
Fan Tin Tsuen Public Toilet	蕃田村公廁	Fan Tin Tsuen Public Toilet, San Tin, Yuen Long, NT	新界元朗新田蕃田村公廁	San Tin	新田	Yuen Long	元朗	New Territories	新界	825694	840029	22.499841771	114.074110923
Toilet (Near to Fanling)	廁所（粉嶺附近）	Junction of Yat Ming Road and Pak Wo Road	粉嶺一鳴路與百和路交界	Fanling	粉嶺	North	北區	New Territories	新界	832940.958	838466.477	22.485761077	114.144543787
Toilet (Near to Fanling)	廁所（粉嶺附近）	Junction of Yat Ming Road and Pak Wo Road	粉嶺一鳴路與百和路交界	Fanling	粉嶺	North	北區	New Territories	新界	832957.256	838470.922	22.485801249	114.144702154
Ho Sheung Heung Public Toilet (III)	河上鄉公廁（III）	Sheung Shui, NT	新界上水	Sheung Shui	上水	North	北區	New Territories	新界	829486	841260	22.510977453	114.110958209
San Uk Ling Public Toilet	新屋嶺公廁	Sheung Shui, NT	新界上水	Sheung Shui	上水	North	北區	New Territories	新界	831700	843935	22.535141044	114.13246899
Toilet (Near to Sheung Shui)	廁所（上水附近）	Sheung Shui, NT	新界上水	Sheung Shui	上水	North	北區	New Territories	新界	831496.528	840411.29	22.503320086	114.130501655
Fo Tan Cooked Food Market (West) Toilet	火炭西熟食市場廁所	Fo Tan Cooked Food Market (West) Toilet, Fo Tan, Sha Tin, NT	新界沙田火炭火炭西熟食市場廁所	Fo Tan	火炭	Sha Tin	沙田	New Territories	新界	837889	828777	22.398263126	114.192616619
Fo Tan Village Public Toilet	火炭村公廁	Fo Tan Village Public Toilet, Fo Tan, Sha Tin, NT	新界沙田火炭火炭村公廁	Fo Tan	火炭	Sha Tin	沙田	New Territories	新界	838089	828504	22.395797596	114.194558593
Fong Ma Po Public Toilet	放馬莆公廁	Fong Ma Po, Lam Tsuen Valley, Tai Po, NT	新界大埔林村谷放馬莆	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	832617	835290	22.457075483	114.141403015
Forbes Street Temporary Playground Toilet	科士街臨時遊樂場廁所	Forbes Street Temporary Playground Toilet, Kennedy Town, HK	香港堅尼地城科士街臨時遊樂場廁所	Kennedy Town	堅尼地城	Central & Western	中西區	Hong Kong	港島	831242	815795	22.281021701	114.128105476
Fraser Village Public Toilet	禮修村公廁	Shap Pat Heung, Yuen Long, NT	新界元朗十八鄉	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821012	832907	22.435491835	114.028677381
Fu Kin Street, Ha Keng Hau Village Public Toilet	富健街公廁	Fu Kin Street, Ha Keng Hau Village Public Toilet, Sha Tin, NT	新界沙田富健街公廁	Sha Tin	沙田	Sha Tin	沙田	New Territories	新界	836263	825161	22.365609518	114.176825829
Toilet (Near to Sheung Shui)	廁所（上水附近）	Sheung Shui, NT	新界上水	Sheung Shui	上水	North	北區	New Territories	新界	830194.586	840525.237	22.504344934	114.117847971
Fu Tei Sheung Tsuen Aqua Privy	虎地上村旱廁	Fu Tei Sheung Tsuen Aqua Privy, Tuen Mun, NT	新界屯門虎地上村旱廁	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	816411	829863	22.407956019	113.984021329
Fu Tso Tsuen Public Toilet	虎草村公廁	Fu Tso Tsuen Public Toilet, Lau Fau Shan, Yuen Long, NT	新界元朗流浮山虎草村公廁	Lau Fau Shan	流浮山	Yuen Long	元朗	New Territories	新界	816967	837088	22.473207086	113.989333568
Fu Yung Shan San Tsuen Public Toilet	芙蓉山新村公廁	Fu Yung Shan San Tsuen Public Toilet, Tsuen Wan, NT	新界荃灣芙蓉山新村公廁	Tsuen Wan	荃灣	Tsuen Wan	荃灣	New Territories	新界	830627	826554	22.378179798	114.122100048
Fu Yung Shan Yiu Tai Public Toilet	芙蓉山姚大公廁	Tsuen Wan, NT	新界荃灣	Tsuen Wan	荃灣	Tsuen Wan	荃灣	New Territories	新界	830200	826536	22.378015792	114.117953931
Fui Sha Wai Public Toilet	灰沙圍公廁	Fui Sha Wai Public Toilet, Ping Shan, Yuen Long, NT	新界元朗屏山灰沙圍公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	818669	833260	22.438657089	114.005913613
Fuk Hang Tsuen Public Toilet	福亨村公廁	Tuen Mun, NT	新界屯門	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	817084.466	830890.545	22.417242875	113.990549695
Fuk Hing Lane, San Tin Public Toilet	新田福興里公廁	Ngau Tam Mei, Yuen Long, NT	新界元朗牛潭尾	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	823870	836973	22.472232627	114.056408273
Fuk Hing Tsuen Public Toilet	福慶村公廁	Wang Chau Fuk Hing Tsuen, Yuen Long, NT	新界元朗橫洲福慶村	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	820819	835071	22.455031939	114.026781561
Fung Cheung Road Public Toilet	鳳翔路公廁	Fung Cheung Road Public Toilet, Yuen Long, NT	新界元朗鳳翔路公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821437	833781	22.443388168	114.03279768
Toilet (Near to Sheung Shui)	廁所（上水附近）	Sheung Shui, NT	新界上水	Sheung Shui	上水	North	北區	New Territories	新界	828034.428	842625.681	22.523303662	114.096842876
Toilet (Near to Sheung Shui)	廁所（上水附近）	Sheung Shui, NT	新界上水	Sheung Shui	上水	North	北區	New Territories	新界	828287	842612	22.523181319	114.09929798
Fung Kong Tsuen (Entrance) Public Toilet	鳳降村入口公廁	Ha Tsuen, Yuen Long, NT	新界元朗廈村	Ha Tsuen	廈村	Yuen Long	元朗	New Territories	新界	817041	835571	22.45950883	113.990070959
Fung Kut Heung Kam Tin Public Toilet	逢吉鄉公廁	Kam Tin, Yuen Long, NT	新界元朗錦田	Kam Tin	錦田	Yuen Long	元朗	New Territories	新界	823495	835401	22.458034059	114.052777202
Fung Loi Leung Yuen-Tai Po Pun Shan Chau Toilet	蓬萊閬苑-大埔半山洲廁所	Fung Loi Leung Yuen-Tai Po Pun Shan Chau Toilet, Tai Po, NT	新界大埔蓬萊閬苑-大埔半山洲廁所	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	835662	832474	22.431649505	114.170987857
Toilet (Near to Sheung Shui)	廁所（上水附近）	Sheung Shui, NT	新界上水	Sheung Shui	上水	North	北區	New Territories	新界	828181.775	842554.972	22.52266584	114.098275471
Gascoigne Road Public Toilet	加士居道公廁	Gascoigne Road Public Toilet, Yau Ma Tei, KLN	九龍油麻地加士居道公廁	Yau Ma Tei	油麻地	Yau Tsim Mong	油尖旺	Kowloon	九龍	835752	818808	22.308238199	114.171866475
Gillies Avenue South Public Toilet	機利士南路公廁	Gillies Avenue South Public Toilet, Hung Hom, KLN	九龍紅磡機利士南路公廁	Hung Hom	紅磡	Kowloon City	九龍城	Kowloon	九龍	837137	818786	22.30803938	114.185308161
Glenealy Public Toilet	己連拿利公廁	Central District, HK	香港中環	Central	中環	Central & Western	中西區	Hong Kong	港島	833983	815597	22.279239437	114.154702547
Ha Che East Public Toilet	下輋東公廁	Ha Che, Pat Heung, Yuen Long, NT	新界元朗八鄉下輋	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	827792	834346	22.448533647	114.094530663
Ha Che West Public Toilet	下輋西公廁	Ha Che West Public Toilet, Pat Heung, Yuen Long, NT	新界元朗八鄉下輋西公廁	Pat Heung	八鄉	Yuen Long	元朗	New Territories	新界	827702	834338	22.448460955	114.093656363
Ha Chuk Yuen, Chuk Yuen Tsuen Public Toilet	竹園村下竹園公廁	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	823854	837520	22.47717214	114.056248531
Ha Hang Public Toilet	下坑公廁	Ha Hang Public Toilet, Tai Po, NT	新界大埔下坑公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	837207	835917	22.462741199	114.185997651
Ha Ling Pei Aqua Privy	下嶺皮旱廁	Ha Ling Pei, Tung Chung, Lantau Island, NT	新界大嶼山東涌下嶺皮	Lantau Island	大嶼山	Islands	離島	New Territories	新界	811313	815401	22.277290477	113.934735
Toilet (Near to Sheung Shui)	廁所（上水附近）	Sheung Shui, NT	新界上水	Sheung Shui	上水	North	北區	New Territories	新界	828417	842251	22.519921962	114.100563387
Ha Mei San Tsuen Public Toilet	蝦尾新村公廁	Ha Mei San Tsuen Public Toilet, Yuen Long, NT	新界元朗蝦尾新村公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	819149	834869	22.453191895	114.010559109
Ha Pak Nai Public Toilet	下白泥公廁	Ha Pak Nai Public Toilet, Ha Tsuen, Yuen Long, NT	新界元朗廈村下白泥公廁	Ha Tsuen	廈村	Yuen Long	元朗	New Territories	新界	812815	833277	22.438740393	113.949046549
Ha Pak Nai Tsuen, Lau Fau Shan Public Toilet	流浮山下白泥村公廁	Ha Pak Nai Tsuen, Lau Fau Shan Public Toilet, Ha Tsuen, Yuen Long, NT	新界元朗廈村流浮山下白泥村公廁	Lau Fau Shan	流浮山	Yuen Long	元朗	New Territories	新界	812210	831969	22.426920242	113.94318925
Ha San Wai Aqua Privy	下新圍旱廁	Yuen Long, NT	新界元朗	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	823670	837111	22.473477359	114.054463866
Sheung Shui Tung Hing Road Carpark Public Toilet	上水東慶路停車場公廁	Sheung Shui Tung Hing Road Carpark Public Toilet, Sheung Shui, NT	新界上水上水東慶路停車場公廁	Sheung Shui	上水	North	北區	New Territories	新界	830740	841008	22.508706323	114.123147069
Ha Tsuen Shi, VMO Public Toilet	廈村市菜站公廁	Ha Tsuen Shi, VMO Public Toilet, Ha Tsuen, Yuen Long, NT	新界元朗廈村廈村市菜站公廁	Ha Tsuen	廈村	Yuen Long	元朗	New Territories	新界	817403	834109	22.44631042	113.993605372
Ha Tsuen Tseung Kong Wai Public Toilet	廈村祥降圍公廁	Ha Tsuen Tseung Kong Wai Public Toilet, Ha Tsuen, Yuen Long, NT	新界元朗廈村廈村祥降圍公廁	Ha Tsuen	廈村	Yuen Long	元朗	New Territories	新界	816848	834600	22.450738137	113.988207703
Ha Wan Tsuen Public Toilet	下灣村公廁	Ha Wan Tsuen Public Toilet, Lok Ma Chau, Yuen Long, NT	新界元朗落馬洲下灣村公廁	Lok Ma Chau	落馬洲	Yuen Long	元朗	New Territories	新界	825668	841612	22.514136687	114.073847655
Tsung Pak Long (North) Public Toilet	松柏朗（北）公廁	Tsung Pak Long (North) Public Toilet, Sheung Shui, NT	新界上水上水松柏塱（北）公廁	Sheung Shui	上水	North	北區	New Territories	新界	830179	840538	22.504460134	114.117696445
Ha Yau Tin Tsuen Aqua Privy	下攸田村旱廁	Ha Yau Tin Tsuen Aqua Privy, Shap Pat Heung, Yuen Long, NT	新界元朗十八鄉下攸田村旱廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	821735	833445	22.4403565	114.035695683
Ham Tin Public Toilet	咸田公廁	Ham Tin Public Toilet, Sai Kung, NT	新界西貢咸田公廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	830074	856615	22.409855603	114.374489060
Ham Tin San Tsuen, Lantau Public Toilet	鹹田新村公廁	Ham Tin San Tsuen, Lantau Public Toilet, Lantau Island, NT	新界大嶼山鹹田新村公廁	Lantau Island	大嶼山	Islands	離島	New Territories	新界	811448	816104	22.283640906	113.936034031
Han Garden Toilet	漢花園廁所	Han Garden Toilet, Cheung Sha Wan, KLN	九龍長沙灣漢花園廁所	Cheung Sha Wan	長沙灣	Sham Shui Po	深水埗	Kowloon	九龍	834502	822104	22.338002198	114.159731353
Hang Ha Po Public Toilet	坑下莆公廁	Hang Ha Po Public Toilet, Lam Tsuen Valley, Tai Po, NT	新界大埔林村谷坑下莆公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	832960	835340	22.457527702	114.144735336
Hang Hau PTI Public Toilet	坑口公共交通交匯處公廁	Inside the public transport interchange at Hang Hau MTR Station	坑口地鐵站公共交通交匯處	Hang Hau	坑口	Sai Kung	西貢	New Territories	新界	845278	819622	22.315565583	114.264322728
Hang Hau Tsuen Public Toilet	坑口村公廁	Hang Hau Tsuen Public Toilet, Lau Fau Shan, Yuen Long, NT	新界元朗流浮山坑口村公廁	Lau Fau Shan	流浮山	Yuen Long	元朗	New Territories	新界	816058	836149	22.464717053	113.980513132
Hang Mei Teng Public Toilet	坑尾頂公廁	Hang Mei Teng Public Toilet, Clear Water Bay, Sai Kung, NT	新界西貢清水灣坑尾頂公廁	Clear Water Bay	清水灣	Sai Kung	西貢	New Territories	新界	846587	819178	22.31154865	114.277024616
Hang Mei Tsuen Public Toilet (Bio-treatment)	坑尾村公廁	Hang Mei Tsuen Public Toilet, Ping Shan, Yuen Long, NT	新界元朗屏山坑尾村公廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	818802	833918	22.444600466	114.007198377
Sheung Shui Wai Public Toilet Sheung Pak Tsuen Sheung Shui	上水上北村上水圍公廁	Sheung Shui Wai Sheung Pak Tsuen Public Toilet, Sheung Shui, NT	新界上水上水圍上北村公廁	Sheung Shui	上水	North	北區	New Territories	新界	830985	841215	22.510576387	114.125527564
Sheung Shui Wai Wai Noi Tsuen Public Toilet	上水圍圍內村公廁	Sheung Shui Wai Public Toilet, Sheung Shui, NT	新界上水上水圍公廁	Sheung Shui	上水	North	北區	New Territories	新界	830769	841112	22.509645576	114.123428562
Sheung Shui Wai Po Sheung Tsuen Public Toilet	上水圍莆上村公廁	Sheung Shui Wai Po Sheung Tsuen Public Toilet, Sheung Shui, NT	新界上水上水圍莆上村公廁	Sheung Shui	上水	North	北區	New Territories	新界	830875	841091	22.509456276	114.124458868
Sheung Shui Tung Hing Road Public Toilet	上水東慶路公廁	Sheung Shui Heung Sitting-out Area No.9, Sheung Shui, NT	新界上水上水鄉第九休憩處	Sheung Shui	上水	North	北區	New Territories	新界	830783	840883	22.507577664	114.123565423
Hang Tau Tsuen Aqua Privy	坑頭村旱廁	Hang Tau Tsuen Aqua Privy, Ping Shan, Yuen Long, NT	新界元朗屏山坑頭村旱廁	Yeun Long	元朗	Yuen Long	元朗	New Territories	新界	818969	834122	22.446444367	114.008818498
Hap Mun Bay Aqua Privy	廈門灣旱廁	Hap Mun Bay Aqua Privy, Sharp Island, Sai Kung, NT	新界西貢橋咀洲廈門灣旱廁	Sai Kung	西貢	Sai Kung	西貢	New Territories	新界	848617	824160	22.356525526	114.296765058
Harbour Road Garden Toilet	港灣道花園廁所	Harbour Road Garden Toilet, Wan Chai, HK	香港灣仔港灣道花園廁所	Wan Chai	灣仔	Wan Chai	灣仔	Hong Kong	港島	836156	815746	22.280586506	114.17578758
Hatton Road Public Toilet	克頓道公廁	The Peak, HK	香港山頂	Peak	山頂	Central & Western	中西區	Hong Kong	港島	832349	814934	22.273249189	114.138849146
Hatton Road Sitting-out Area Toilet	克頓道休憩處廁所	Mid-Levels, HK	香港半山區	Mid_levels	半山區	Central & Western	中西區	Hong Kong	港島	832324.461	815542.915	22.278748025	114.138609555
